Wild Fall Chinook,Hatchery Fall Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead,Wild Type S Coho,Wild Type N Coho,Hatchery Type S Coho,Hatchery Type N Coho
258,252,,,,,,
258,252,,,,,,
258,252,,,,,,
258,252,,,,,,
258,252,,,,,,
258,252,,,,,,
258,252,,,,,,
259,252,,,,,,
259,252,,,,,,
259,252,,,,,,
259,252,,,,,,
259,252,,,,,,
259,252,,,,,,
259,252,,,,,,
259,252,,,,,,
259,252,,,,,,
259,252,,,,,,
259,252,,,,,,
259,252,,,,,,
259,252,,,,,,
259,252,,,,,,
260,252,,,,,,
260,252,,,,,,
260,252,,,,,,
260,252,,,,,,
260,252,,,,,,
260,252,,,,,,
260,252,,,,,,
260,252,,,,,,
260,252,,,,,,
260,252,,,,,,
260,252,,,,,,
260,252,,,,,,
260,252,,,,,,
260,252,,,,,,
260,252,,,,,,
261,252,,,,,,
261,252,,,,,,
261,252,,,,,,
261,252,,,,,,
261,252,,,,,,
261,252,,,,,,
261,252,,,,,,
261,252,,,,,,
261,252,,,,,,
261,253,,,,,,
261,253,,,,,,
261,253,,,,,,
261,253,,,,,,
261,253,,,,,,
261,253,,,,,,
261,253,,,,,,
261,253,,,,,,
261,253,,,,,,
261,253,,,,,,
261,253,,,,,,
261,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
262,253,,,,,,
263,253,,,,,,
263,253,,,,,,
263,253,,,,,,
263,253,,,,,,
263,253,,,,,,
263,253,,,,,,
263,254,,,,,,
263,254,,,,,,
263,254,,,,,,
263,254,,,,,,
263,254,,,,,,
263,254,,,,,,
263,254,,,,,,
263,254,,,,,,
264,254,,,,,,
264,254,,,,,,
264,254,,,,,,
264,254,,,,,,
264,254,,,,,,
264,254,,,,,,
264,254,,,,,,
264,254,,,,,,
264,254,,,,,,
264,254,,,,,,
264,254,,,,,,
264,254,,,,,,
264,254,,,,,,
264,254,,,,,,
264,254,,,,,,
265,254,,,,,,
265,254,,,,,,
265,254,,,,,,
265,254,,,,,,
265,254,,,,,,
265,254,,,,,,
265,254,,,,,,
265,254,,,,,,
265,254,,,,,,
265,255,,,,,,
265,255,,,,,,
265,255,,,,,,
265,255,,,,,,
265,255,,,,,,
265,255,,,,,,
265,255,,,,,,
265,255,,,,,,
265,255,,,,,,
265,255,,,,,,
265,255,,,,,,
265,255,,,,,,
265,255,,,,,,
265,255,,,,,,
266,255,,,,,,
266,255,,,,,,
266,255,,,,,,
266,255,,,,,,
266,255,,,,,,
266,255,,,,,,
266,255,,,,,,
266,255,,,,,,
266,255,,,,,,
266,255,,,,,,
266,255,,,,,,
266,255,,,,,,
266,255,,,,,,
266,255,,,,,,
266,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,255,,,,,,
267,256,,,,,,
267,256,,,,,,
267,256,,,,,,
