Wild Fall Chinook,Hatchery Fall Chinook,Hatchery Winter Steelhead,Wild Coho,Hatchery Coho,Wild Pink
286,262,339,318,290,
286,262,339,318,290,
286,262,340,318,290,
286,262,343,318,290,
286,262,344,318,290,
286,262,344,318,290,
286,262,344,318,290,
286,262,344,318,290,
286,262,344,318,290,
286,262,344,318,290,
286,262,345,318,290,
286,262,345,318,290,
286,262,345,318,290,
286,262,345,322,290,
286,262,345,322,290,
286,262,345,322,290,
286,262,345,322,290,
286,262,345,322,290,
289,262,345,322,290,
289,262,345,322,290,
289,262,345,322,290,
289,262,345,322,291,
289,262,345,322,291,
289,262,345,,291,
289,262,345,,291,
,262,345,,291,
,262,345,,291,
,262,345,,291,
,262,346,,291,
,262,346,,291,
,262,346,,291,
,262,346,,291,
,262,346,,291,
,262,346,,291,
,262,346,,291,
,262,346,,291,
,262,346,,291,
,262,346,,291,
,262,346,,291,
,262,346,,291,
,262,346,,291,
,262,346,,291,
,262,346,,292,
,262,346,,292,
,262,346,,292,
,262,346,,292,
,262,346,,292,
,262,346,,292,
,262,346,,292,
,262,346,,292,
,262,347,,292,
,262,347,,292,
,262,347,,292,
,262,347,,292,
,262,347,,292,
,262,347,,292,
,262,347,,292,
,262,348,,292,
,262,348,,292,
,262,348,,292,
,262,348,,292,
,262,348,,292,
,262,348,,292,
,262,348,,292,
,262,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,292,
,263,348,,293,
,263,348,,293,
,263,348,,293,
,263,348,,293,
,263,348,,293,
,263,348,,293,
,263,348,,293,
,263,351,,293,
,263,351,,293,
,263,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,352,,293,
,264,353,,293,
,264,353,,293,
