Wild Fall Chinook,Hatchery Fall Chinook,Wild Winter Steelhead,Wild Winter-Late Steelhead,Hatchery Winter Steelhead,Wild Coho,Wild Late Coho,Hatchery Coho,Hatchery Late Coho,Hatchery Chum,Unknown Chum
291,278,021,,011,302,008,280,007,317,335
291,278,021,,011,302,008,280,007,317,335
291,278,021,,011,302,008,280,007,317,337
291,278,022,,011,302,008,280,007,317,337
291,278,022,,011,302,008,280,007,317,337
291,278,022,,011,302,008,280,007,317,
291,278,022,,011,302,008,280,007,317,
291,278,022,,011,302,008,281,007,317,
291,278,022,,011,302,008,281,007,317,
291,278,022,,011,302,008,281,007,317,
291,278,022,,011,302,008,281,007,317,
291,278,022,,011,302,008,281,007,317,
291,278,022,,011,302,008,281,007,317,
291,278,022,,011,302,008,281,007,318,
291,278,022,,011,302,008,281,007,318,
