Hatchery Spring Chinook,Hatchery Fall Chinook,Wild Coho,Hatchery Coho,Hatchery Chum,Unknown Chum,Wild Pink,Hatchery Pink
201,235,293,273,329,,274,
201,235,293,273,329,,274,
201,235,293,273,329,,274,
201,235,293,273,329,,274,
201,235,293,273,329,,274,
201,235,293,273,329,,274,
201,235,294,273,329,,274,
201,235,295,273,329,,274,
201,235,295,273,329,,274,
201,235,295,273,329,,274,
201,235,295,273,329,,274,
201,235,295,273,329,,274,
201,235,295,273,329,,274,
201,235,295,273,329,,274,
201,235,295,273,329,,274,
201,235,295,273,329,,274,
201,235,295,273,329,,274,
201,235,295,273,329,,274,
201,235,295,273,329,,274,
201,235,295,273,329,,274,
201,235,295,273,330,,274,
201,235,295,273,330,,274,
201,235,295,273,330,,274,
201,235,295,273,330,,274,
201,235,297,274,330,,274,
202,235,297,274,330,,274,
202,235,297,274,330,,274,
202,235,297,274,330,,274,
202,235,297,274,330,,274,
202,235,298,274,330,,274,
202,235,298,274,330,,274,
202,235,298,274,330,,274,
202,235,299,274,330,,274,
202,235,299,274,330,,274,
202,235,299,274,330,,274,
202,235,299,274,330,,274,
202,235,299,274,330,,274,
202,235,299,274,330,,274,
202,235,299,274,330,,274,
202,235,299,274,330,,274,
202,235,299,274,330,,274,
202,235,299,274,330,,274,
202,235,299,274,330,,274,
202,235,299,274,330,,274,
203,235,299,274,330,,274,
203,235,299,274,330,,274,
203,235,299,274,330,,274,
203,235,299,274,330,,274,
203,235,299,274,330,,274,
203,235,299,274,330,,275,
203,235,299,274,330,,275,
203,235,299,274,330,,275,
203,235,299,274,330,,275,
203,235,299,274,330,,275,
203,235,299,274,330,,276,
203,235,299,274,330,,276,
203,235,299,274,330,,276,
204,235,299,274,330,,276,
204,235,299,274,330,,278,
204,235,299,274,330,,278,
204,236,299,274,330,,278,
204,236,299,274,330,,278,
204,236,299,274,330,,278,
204,236,299,274,330,,279,
204,236,299,274,330,,280,
204,236,299,274,330,,285,
204,236,299,274,330,,285,
204,236,299,274,330,,285,
205,236,299,274,330,,285,
205,236,299,274,330,,285,
205,236,299,274,330,,285,
205,236,300,274,330,,285,
205,236,300,274,330,,287,
205,236,300,275,330,,287,
205,236,300,275,330,,,
205,236,300,275,330,,,
205,236,300,275,330,,,
205,236,300,275,330,,,
205,236,300,275,330,,,
205,236,300,275,330,,,
205,236,300,275,330,,,
205,236,300,275,330,,,
206,236,300,275,330,,,
206,236,300,275,330,,,
206,236,300,275,330,,,
206,236,300,275,330,,,
206,236,300,275,330,,,
206,236,300,275,330,,,
206,236,300,275,330,,,
206,236,300,275,330,,,
206,236,300,275,330,,,
206,236,300,275,330,,,
206,236,301,275,330,,,
206,236,301,275,330,,,
206,236,301,275,330,,,
206,236,301,275,330,,,
207,236,302,275,330,,,
207,236,302,275,330,,,
207,236,302,275,330,,,
207,236,303,275,331,,,
207,236,303,275,331,,,
207,236,303,275,331,,,
207,236,303,275,331,,,
207,236,303,275,331,,,
207,236,303,275,331,,,
207,236,303,275,331,,,
207,236,303,275,331,,,
207,236,304,275,331,,,
208,236,304,275,331,,,
208,236,304,275,331,,,
208,236,305,275,331,,,
208,236,306,275,331,,,
208,236,306,275,331,,,
208,236,306,275,331,,,
208,236,307,275,331,,,
208,236,307,275,331,,,
208,236,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
208,237,307,275,331,,,
209,237,307,275,331,,,
209,237,307,275,331,,,
209,237,307,275,331,,,
209,237,307,275,331,,,
209,237,308,275,331,,,
209,237,308,275,331,,,
209,237,308,275,331,,,
209,237,308,275,331,,,
209,237,308,276,331,,,
209,237,308,276,331,,,
209,237,309,276,331,,,
210,237,309,276,331,,,
210,237,309,276,331,,,
210,237,309,276,331,,,
210,237,309,276,331,,,
210,237,311,276,331,,,
210,237,311,276,331,,,
210,237,311,276,331,,,
210,237,313,276,331,,,
210,237,313,276,331,,,
210,237,313,276,331,,,
210,237,313,276,331,,,
210,237,313,276,331,,,
210,237,313,276,331,,,
210,237,313,276,331,,,
210,237,313,276,331,,,
210,237,313,276,331,,,
210,237,313,276,331,,,
210,237,313,276,331,,,
210,237,313,276,331,,,
211,237,313,276,331,,,
211,237,313,276,331,,,
211,237,313,276,331,,,
211,237,313,276,331,,,
211,237,313,276,331,,,
211,237,313,276,331,,,
211,237,313,276,332,,,
211,237,313,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
211,237,314,276,332,,,
212,237,314,276,332,,,
212,237,314,276,332,,,
212,237,314,276,332,,,
